關鍵字,TF-IDF
保護,0.004907875813711939
認真,0.004833514058958728
變成,0.004833514058958728
醫師,0.004833514058958728
問卦,0.004833514058958728
半身,0.004813155248421609
開心,0.004759152304205517
營養,0.004759152304205517
成績,0.004759152304205517
資料,0.004684790549452305
決定,0.004684790549452305
學校,0.004684790549452305
結束,0.004684790549452305
重量,0.004627048680575499
發生,0.0046104287946990945
吃飯,0.0046104287946990945
應會,0.0046104287946990945
沒關,0.0046104287946990945
乾淨,0.0046104287946990945
大腿,0.004574047494510372
孩子,0.004544346088901627
畢竟,0.004536067039945883
工作,0.004522588288660779
大學,0.004461705285192672
內信,0.004461705285192672
參加,0.004461705285192672
控制,0.004408693008572699
報導,0.004387343530439461
武漢,0.004387343530439461
文章,0.004325942476040805
垃圾,0.004323824512118807
單純,0.004312981775686249
懷孕,0.004312981775686249
碳水,0.004281349056072528
女孩,0.004271679221796535
認識,0.0042386200209330385
處理,0.0042386200209330385
增加,0.004238340555154542
力量,0.00418221887617311
調整,0.004164258266179827
崩潰,0.004164258266179827
加強,0.004164258266179827
超級,0.004164258266179827
飲料,0.004164258266179827
歡迎,0.004164258266179827
身材,0.004115987744544211
美國,0.004089896511426616
蛋白質,0.004089896511426616
年紀,0.004089896511426616
大陸,0.004089896511426616
味道,0.004060907092294094
珍熙,0.004015534756673405
中間,0.004015534756673405
口味,0.003958220344806083
國外,0.003941173001920193
國家,0.003941173001920193
cm,0.003941173001920193
推文,0.003941173001920193
妹妹,0.003933587062400398
回覆,0.003903756638346033
沒事,0.003866811247166982
反應,0.003866811247166982
兩天,0.003866811247166982
減重,0.003866811247166982
相關,0.003866811247166982
天氣,0.003866811247166982
配速,0.003866811247166982
國民黨,0.003866811247166982
文欽,0.003866811247166982
顏色,0.003792449492413771
噁心,0.003792449492413771
公園,0.003792449492413771
白質,0.003792449492413771
改變,0.003792449492413771
完整,0.0037427752493203745
電話,0.00371808773766056
高雄,0.003671128193360868
晚餐,0.0036483480174734546
恢復,0.003643725982907349
進入,0.003643725982907349
沒錯,0.003643725982907349
沒什,0.003643725982907349
ok,0.003643725982907349
km,0.003643725982907349
意識,0.003643725982907349
脂肪,0.0036427487142457003
心率,0.0036243048835069825
意思,0.003576869258108108
肺炎,0.0035708349095536964
福袋,0.0035693642281541373
免費,0.0035693642281541373
包裝,0.0035693642281541373
家長,0.0035693642281541373
睡覺,0.0035693642281541373
邏輯,0.0035693642281541373
宮縮,0.0035693642281541373
口罩,0.003563728029996579
早餐,0.0035295406406787543
方式,0.0035242502713007185
努力,0.003521616794437844
肌力,0.0035025099749323553
選手,0.003495002473400926
完賽,0.003495002473400926
跪求,0.0034943286634578426
